yrnum,date,dt,time,tz,location,st,deaths,intor,insvr,nrsvr,nowatch,watch,ef,h,m,o,p,v,unk,slat,slon,elat,elon
1,2020-01-10,"January 10, 2020",23:30:00,cst,NACOGDOCHES,TX,1,1,0,0,0,WT0005,1,0,1,0,0,0,0,31.5832,-94.7558,31.5855,-94.7197
2,2020-01-11,"January 11, 2020",01:45:00,cst,BOSSIER,LA,3,3,0,0,0,WT0005,2,0,3,0,0,0,0,32.4571,-93.5875,32.6218,-92.9337
3,2020-01-11,"January 11, 2020",11:15:00,cst,PICKENS,AL,3,3,0,0,0,WT0013,2,0,3,0,0,0,0,33.2379,-88.1545,33.3253,-88.1223
4,2020-02-06,"February 6, 2020",02:14:00,cst,MARENGO,AL,1,1,0,0,0,WT0025,1,0,1,0,0,0,0,32.4617,-87.8012,32.4725,-87.7834
5,2020-03-02,"March 2, 2020",23:10:00,cst,BENTON,TN,1,0,0,1,0,WT0035,2,0,1,0,0,0,0,36.0923,-88.1199,36.1074,-87.7838
6,2020-03-03,"March 3, 2020",00:45:00,cst,DAVIDSON-WILSON,TN,5,5,0,0,0,WT0036,3,2,0,2,1,0,0,36.1717,-86.9557,36.1524,-85.8905
7,2020-03-03,"March 3, 2020",01:50:00,cst,PUTNAM,TN,19,19,0,0,0,WT0036,4,12,5,0,2,0,0,36.1716,-85.6618,36.1705,-85.5154
8,2020-04-12,"April 12, 2020",15:00:00,cst,WALTHALL-LAWRENCE,MS,4,4,0,0,0,WT0107,4,0,2,0,0,0,2,31.2763,-90.1732,31.4017,-89.8505
9,2020-04-12,"April 12, 2020",15:20:00,cst,JEFFERSON DAVIS-JONES,MS,8,8,0,0,0,WT0107,4,0,0,0,4,0,4,31.4641,-89.7579,32.072,-88.8649
10,2020-04-12,"April 12, 2020",19:50:00,cst,MURRAY,GA,7,7,0,0,0,WT0112,2,0,7,0,0,0,0,34.8098,-84.8377,34.9103,-84.7761
11,2020-04-12,"April 12, 2020",21:20:00,cst,HAMILTON,TN,3,0,0,3,0,WT0113,3,0,0,0,0,0,3,34.9407,-85.2582,35.104,-84.9816
12,2020-04-12,"April 12, 2020",23:15:00,cst,BARTOW,GA,1,1,0,0,0,WT0115,1,1,0,0,0,0,0,34.1492,-85.8285,34.2857,-85.678
13,2020-04-13,"April 13, 2020",01:20:00,cst,OCONEE,SC,1,1,0,0,0,WT0116,3,0,0,0,0,0,1,34.6175,-83.0834,34.7329,-82.8263
14,2020-04-13,"April 13, 2020",03:45:00,cst,ORANGEBURG,SC,2,2,0,0,0,WT0117,3,0,2,0,0,0,0,33.3158,-81.3944,33.624,-80.9115
15,2020-04-13,"April 13, 2020",04:10:00,cst,HAMPTON,SC,5,5,0,0,0,WT0117,4,0,5,0,0,0,0,32.7034,-81.2896,32.829,-80.9092
16,2020-04-13,"April 13, 2020",04:50:00,cst,COLLETON,SC,1,1,0,0,0,WT0117,1,0,0,0,0,0,1,32.8791,-80.7305,32.9784,-80.456
17,2020-04-19,"April 19, 2020",18:30:00,cst,MARION,MS,1,1,0,0,0,WT0121,4,0,1,0,0,0,0,31.0716,-89.9644,31.2338,-89.0792
18,2020-04-19,"April 19, 2020",22:45:00,cst,HENRY,AL,1,1,0,0,0,WT0125,2,0,1,0,0,0,0,31.3994,-85.279,31.437,-85.2029
19,2020-04-22,"April 22, 2020",16:00:00,cst,MARSHALL,OK,2,2,0,0,0,WT0134,2,0,0,1,0,1,0,34.07,-96.81,34.07,-96.74
20,2020-04-22,"April 22, 2020",16:50:00,cst,POLK,TX,3,3,0,0,0,WT0133,3,0,0,0,0,0,3,30.8283,-95.2418,30.8811,-94.7046
21,2020-04-22,"April 22, 2020",20:30:00,cst,RAPIDES,LA,1,1,0,0,0,WT0135,2,0,1,0,0,0,0,31.1623,-92.4582,31.1922,-92.3103
22,2020-05-19,"May 18, 2020",19:35:00,cst,ACADIA,LA,1,0,0,0,1,None,3,0,1,0,0,0,1,30.4597,-92.2678,30.4176,-92.2234
